"datetime","location"
"2016-01-31 19:57:45","HAL"
"2016-01-31 18:20:06","HAL"
"2016-01-31 17:46:58","HAL"
"2016-01-31 02:53:09","HAL"
"2016-01-31 01:39:23","HAL"
"2016-01-31 01:24:26","HAL"
"2016-01-31 01:10:09","HAL"
"2016-01-31 00:56:34","HAL"
"2016-01-30 23:05:21","HAL"
"2016-01-30 22:58:01","HAL"
"2016-01-30 22:45:10","HAL"
"2016-01-30 21:33:29","HAL"
"2016-01-29 23:41:02","HAL"
"2016-01-29 21:34:34","HAL"
"2016-01-29 20:11:38","HAL"
"2016-01-29 19:52:45","HAL"
"2016-01-29 19:35:36","HAL"
"2016-01-29 19:10:27","HAL"
"2016-01-29 18:14:58","HAL"
"2016-01-29 17:49:40","HAL"
"2016-01-29 16:47:17","HAL"
"2016-01-29 16:43:00","HAL"
"2016-01-29 16:39:40","HAL"
"2016-01-29 15:48:13","HAL"
"2016-01-29 06:25:22","HAL"
"2016-01-29 02:46:40","HAL"
"2016-01-28 18:07:38","HAL"
"2016-01-28 17:02:55","HAL"
"2016-01-28 15:04:40","HAL"
"2016-01-28 06:04:52","HAL"
"2016-01-28 05:09:38","HAL"
"2016-01-28 03:41:54","HAL"
"2016-01-28 02:49:36","HAL"
"2016-01-27 21:23:20","HAL"
"2016-01-27 20:23:44","HAL"
"2016-01-27 20:13:29","HAL"
"2016-01-27 18:54:05","HAL"
"2016-01-27 18:30:52","HAL"
"2016-01-27 17:36:37","HAL"
"2016-01-27 17:32:56","HAL"
"2016-01-27 06:56:17","HAL"
"2016-01-27 05:10:08","HAL"
"2016-01-26 21:37:25","HAL"
"2016-01-26 19:17:02","HAL"
"2016-01-26 17:31:52","HAL"
"2016-01-26 17:18:38","HAL"
"2016-01-26 16:55:06","HAL"
"2016-01-26 16:17:20","HAL"
"2016-01-26 05:17:42","HAL"
"2016-01-26 04:12:51","HAL"
"2016-01-26 03:33:08","HAL"
"2016-01-26 01:26:50","HAL"
"2016-01-26 00:48:58","HAL"
"2016-01-26 00:46:56","HAL"
"2016-01-25 20:47:32","HAL"
"2016-01-25 20:25:07","HAL"
"2016-01-25 18:59:12","HAL"
"2016-01-25 18:05:09","HAL"
"2016-01-25 17:23:04","HAL"
"2016-01-25 17:18:10","HAL"
"2016-01-25 17:17:37","HAL"
"2016-01-25 17:17:22","HAL"
"2016-01-25 17:17:13","HAL"
"2016-01-25 17:15:50","HAL"
"2016-01-25 16:48:19","HAL"
"2016-01-25 16:12:03","HAL"
"2016-01-25 15:44:53","HAL"
"2016-01-25 05:54:50","HAL"
"2016-01-25 03:50:30","HAL"
"2016-01-25 03:35:56","HAL"
"2016-01-25 02:00:03","HAL"
"2016-01-25 01:21:53","HAL"
"2016-01-24 20:07:58","HAL"
"2016-01-24 18:57:15","HAL"
"2016-01-24 18:04:49","HAL"
"2016-01-23 23:20:30","HAL"
"2016-01-23 20:29:11","HAL"
"2016-01-23 19:30:47","HAL"
"2016-01-23 18:27:35","HAL"
"2016-01-23 18:15:19","HAL"
"2016-01-23 17:58:24","HAL"
"2016-01-23 05:03:49","HAL"
"2016-01-23 02:40:30","HAL"
"2016-01-22 21:50:48","HAL"
"2016-01-22 21:43:48","HAL"
"2016-01-22 21:06:11","HAL"
"2016-01-22 20:45:32","HAL"
"2016-01-22 19:32:57","HAL"
"2016-01-22 19:07:42","HAL"
"2016-01-22 19:03:14","HAL"
